,article_title,country,revision_id,article_quality,region,population
251,Manuel Tavares de Almeida,Angola,1209411217,Stub,MIDDLE AFRICA,36.7
252,Marcos Alexandre Nhunga,Angola,1209413818,Stub,MIDDLE AFRICA,36.7
253,Maria Cândida Pereira Teixeira,Angola,1218506469,Stub,MIDDLE AFRICA,36.7
254,Maria do Rosário Teixeira de Alva Sequeira Bragança Sambo,Angola,1209513699,Stub,MIDDLE AFRICA,36.7
255,David Mendes,Angola,1024544204,Stub,MIDDLE AFRICA,36.7
256,Saíde Mingas,Angola,1251004422,GA,MIDDLE AFRICA,36.7
257,Fernando Faustino Muteka,Angola,1241977176,Stub,MIDDLE AFRICA,36.7
258,Pedro Mutinde,Angola,1209539718,Start,MIDDLE AFRICA,36.7
259,José Ndele,Angola,1154991360,Stub,MIDDLE AFRICA,36.7
260,Ana Paula Sacramento Neto,Angola,1227909121,Stub,MIDDLE AFRICA,36.7
261,Daniel Ntongi-Nzinga,Angola,1187961349,Stub,MIDDLE AFRICA,36.7
262,Paula Cristina Francisco Coelho,Angola,1209410923,Stub,MIDDLE AFRICA,36.7
263,Pedro Pedalé,Angola,1115715527,Stub,MIDDLE AFRICA,36.7
264,Elias Salupeto Pena,Angola,1220287990,Start,MIDDLE AFRICA,36.7
265,Johnny Eduardo Pinnock,Angola,1242307359,Stub,MIDDLE AFRICA,36.7
266,Santana André Pitra,Angola,1165626399,Stub,MIDDLE AFRICA,36.7
267,Francisco Manuel Monteiro de Queiróz,Angola,1250824530,Stub,MIDDLE AFRICA,36.7
268,José Aníbal Lopes Rocha,Angola,1242307479,Stub,MIDDLE AFRICA,36.7
269,José da Rocha,Angola,1153488959,Stub,MIDDLE AFRICA,36.7
270,Rosa Luís de Sousa Micolo,Angola,1246271741,Stub,MIDDLE AFRICA,36.7
271,Luís Gomes Sambo,Angola,1242306989,Start,MIDDLE AFRICA,36.7
272,Branca Manuel Espirito Santo,Angola,1142474441,Stub,MIDDLE AFRICA,36.7
273,João Ernesto dos Santos,Angola,1226309621,Stub,MIDDLE AFRICA,36.7
274,José Filomeno dos Santos,Angola,1228399791,C,MIDDLE AFRICA,36.7
275,Jonas Savimbi,Angola,1246026420,GA,MIDDLE AFRICA,36.7
276,Pinda Simão,Angola,1118804168,Stub,MIDDLE AFRICA,36.7
277,Manuel Bernardo de Sousa,Angola,1233607984,Stub,MIDDLE AFRICA,36.7
278,Augusto da Silva Tomás,Angola,1219179734,Stub,MIDDLE AFRICA,36.7
279,José Jacinto Van-Dúnem,Angola,1242841039,C,MIDDLE AFRICA,36.7
280,José Vieira Dias Van-Dúnem,Angola,1227004140,Stub,MIDDLE AFRICA,36.7
281,Luzia Inglês Van-Dúnem,Angola,1240720719,Start,MIDDLE AFRICA,36.7
282,Manuel Vicente,Angola,1250493481,C,MIDDLE AFRICA,36.7
283,Mfulupinga Nlando Victor,Angola,1243272129,Start,MIDDLE AFRICA,36.7
284,Clement Antonio,Antigua and Barbuda,1241563106,Stub,CARIBBEAN,0.1
285,Randolph Beazer,Antigua and Barbuda,1247631912,Stub,CARIBBEAN,0.1
286,Studiation Brown,Antigua and Barbuda,825090349,Stub,CARIBBEAN,0.1
287,Alex Browne (politician),Antigua and Barbuda,1247631794,Stub,CARIBBEAN,0.1
288,Colin O'Neil Browne,Antigua and Barbuda,1241563118,Stub,CARIBBEAN,0.1
289,James Carlisle,Antigua and Barbuda,1242152285,C,CARIBBEAN,0.1
290,Gail Christian,Antigua and Barbuda,1241563122,Start,CARIBBEAN,0.1
291,Mackenzie Frank,Antigua and Barbuda,1247632329,Stub,CARIBBEAN,0.1
292,Osbert Richard Frederick,Antigua and Barbuda,1241563130,Start,CARIBBEAN,0.1
293,Caleb Gardiner,Antigua and Barbuda,1241563135,Stub,CARIBBEAN,0.1
294,Shenella Mary Shadida Govia,Antigua and Barbuda,1241563138,Stub,CARIBBEAN,0.1
295,William Haynes-Smith,Antigua and Barbuda,1250666577,C,CARIBBEAN,0.1
296,Tim Hector,Antigua and Barbuda,1227026341,C,CARIBBEAN,0.1
297,Cheryl Mary Clare Hurst,Antigua and Barbuda,1242813942,Stub,CARIBBEAN,0.1
298,Wilfred Jacobs,Antigua and Barbuda,1246340247,Stub,CARIBBEAN,0.1
299,Rick James (actor),Antigua and Barbuda,1213836084,C,CARIBBEAN,0.1
300,Kiz Johnson,Antigua and Barbuda,1247632301,Stub,CARIBBEAN,0.1
301,Fabian Jones,Antigua and Barbuda,1247632282,Stub,CARIBBEAN,0.1
302,Johnathan Joseph (politician),Antigua and Barbuda,1241563151,Stub,CARIBBEAN,0.1
303,Kelvin Simon,Antigua and Barbuda,1241592202,Start,CARIBBEAN,0.1
304,Harold Lovell,Antigua and Barbuda,1241564680,Start,CARIBBEAN,0.1
305,Edmond Mansoor,Antigua and Barbuda,1248648606,Start,CARIBBEAN,0.1
306,David Massiah,Antigua and Barbuda,1247632248,Stub,CARIBBEAN,0.1
307,Joanne Massiah,Antigua and Barbuda,1241592526,Stub,CARIBBEAN,0.1
308,Dwayne George,Antigua and Barbuda,1247631631,Stub,CARIBBEAN,0.1
309,Knacyntar Nedd,Antigua and Barbuda,1247514093,Stub,CARIBBEAN,0.1
310,Melford Nicholas,Antigua and Barbuda,1241592535,Start,CARIBBEAN,0.1
311,Shawn Nicholas,Antigua and Barbuda,1247632364,Stub,CARIBBEAN,0.1
312,Bernard Percival,Antigua and Barbuda,1241564686,,CARIBBEAN,0.1
313,Jamale Pringle,Antigua and Barbuda,1241592215,Stub,CARIBBEAN,0.1
314,Philip Shoul,Antigua and Barbuda,1247632342,Stub,CARIBBEAN,0.1
315,Rawdon Turner,Antigua and Barbuda,1247632346,Stub,CARIBBEAN,0.1
316,Alincia Williams-Grant,Antigua and Barbuda,1241592542,Start,CARIBBEAN,0.1
317,Juan Alemann,Argentina,1227499891,Stub,SOUTH AMERICA,46.3
318,Germán Alfaro,Argentina,1223272051,C,SOUTH AMERICA,46.3
319,Joaquín Samuel de Anchorena,Argentina,1227458965,Start,SOUTH AMERICA,46.3
320,Juan Agustín Augier,Argentina,1217815148,Stub,SOUTH AMERICA,46.3
321,Uladislao Augier,Argentina,1217815124,Stub,SOUTH AMERICA,46.3
